MS,MS Name,CCI,Ver,Programme Title,Fund,Priority,TO_code,To short,TO long,Category of region,EAFRD Measure code,Measure short description,EAFRD Focus Area code,Focus area short description,EU Amount,National Amount,Total Amount,EU co-financing
LV,Latvia,2014LV06RDNP001,6.1,Latvia - National Rural Development,EAFRD,P4,06,Environment Protection & Resource Efficiency,Preserving and protecting the environment and promoting resource efficiency,VOID,M12,NAT 2000 & WFD,FA_P4,Priority 4,8191863,3854994.35,12046857.35,68
FR,France,2014FR16M2OP009,4,Poitou-Charentes - ERDF/ESF,ERDF,Axe 3,03,Competitiveness of SMEs,Enhancing the competitiveness of small and medium-sized enterprises (SMEs),Transition,VOID,VOID,VOID,VOID,27125000,18083334,45208334,60
LV,Latvia,2014LV06RDNP001,6.1,Latvia - National Rural Development,EAFRD,P2,01,Research & Innovation,"Strengthening research, technological development and innovation",VOID,M16,Cooperation,FA_2A,Farm performance,14730863,6932170.82,21663033.82,68
FR,France,2014FR16M2OP009,4,Poitou-Charentes - ERDF/ESF,ERDF,Axe 4,04,Low-Carbon Economy,Supporting the shift towards a low-carbon economy in all sectors,Transition,VOID,VOID,VOID,VOID,80644616,53763078,134407694,60
LV,Latvia,2014LV06RDNP001,6.1,Latvia - National Rural Development,EAFRD,P4,05,Climate Change Adaptation & Risk Prevention,"Promoting climate change adaptation, risk prevention and management",VOID,M10,Agri-environment-climate,FA_P4,Priority 4,28488470.5,13406339.06,41894809.56,68
LV,Latvia,2014LV06RDNP001,6.1,Latvia - National Rural Development,EAFRD,P4,05,Climate Change Adaptation & Risk Prevention,"Promoting climate change adaptation, risk prevention and management",VOID,M08,Forest,FA_P4,Priority 4,1890527,889659.76,2780186.76,68
LV,Latvia,2014LV06RDNP001,6.1,Latvia - National Rural Development,EAFRD,P2,10,Educational & Vocational Training,"Investing in education, training and vocational training for skills and lifelong learning",VOID,M01,Knowledge,FA_2A,Farm performance,4547867,2140172.71,6688039.71,68
DE,Germany,2014DE16RFOP008,3.1,Mecklenburg-Vorpommern  - ERDF,ERDF,1,01,Research & Innovation,"Strengthening research, technological development and innovation",Transition,VOID,VOID,VOID,VOID,295832000,73958000,369790000,80
LV,Latvia,2014LV06RDNP001,6.1,Latvia - National Rural Development,EAFRD,P4,05,Climate Change Adaptation & Risk Prevention,"Promoting climate change adaptation, risk prevention and management",VOID,M13,Areas with natural constraints,FA_P4,Priority 4,99237599.1,30223458.4,129461057.5,76.65
LV,Latvia,2014LV06RDNP001,6.1,Latvia - National Rural Development,EAFRD,P5,04,Low-Carbon Economy,Supporting the shift towards a low-carbon economy in all sectors,VOID,M04,Physical Investment,FA_5B,Energy efficiency,7710170,3628315.29,11338485.29,68
LV,Latvia,2014LV06RDNP001,6.1,Latvia - National Rural Development,EAFRD,P4,06,Environment Protection & Resource Efficiency,Preserving and protecting the environment and promoting resource efficiency,VOID,M10,Agri-environment-climate,FA_P4,Priority 4,28488470.5,13406339.06,41894809.56,68
LV,Latvia,2014LV06RDNP001,6.1,Latvia - National Rural Development,EAFRD,P4,06,Environment Protection & Resource Efficiency,Preserving and protecting the environment and promoting resource efficiency,VOID,M08,Forest,FA_P4,Priority 4,1890527,889659.76,2780186.76,68
LV,Latvia,2014LV06RDNP001,6.1,Latvia - National Rural Development,EAFRD,P4,10,Educational & Vocational Training,"Investing in education, training and vocational training for skills and lifelong learning",VOID,M01,Knowledge,FA_P4,Priority 4,4547867,2140172.71,6688039.71,68
FR,France,2014FR16M2OP009,4,Poitou-Charentes - ERDF/ESF,ESF,Axe 7,10,Educational & Vocational Training,"Investing in education, training and vocational training for skills and lifelong learning",Transition,VOID,VOID,VOID,VOID,39402135,26268091,65670226,60
FR,France,2014FR16M2OP009,4,Poitou-Charentes - ERDF/ESF,ESF,Axe 6,08,Sustainable & Quality Employment,Promoting sustainable and quality employment and supporting labour mobility,Transition,VOID,VOID,VOID,VOID,4000000,2666667,6666667,60
LV,Latvia,2014LV06RDNP001,6.1,Latvia - National Rural Development,EAFRD,P4,06,Environment Protection & Resource Efficiency,Preserving and protecting the environment and promoting resource efficiency,VOID,M11,Organic Farming,FA_P4,Priority 4,66054970.4,31084691.95,97139662.35,68
LV,Latvia,2014LV06RDNP001,6.1,Latvia - National Rural Development,EAFRD,P5,04,Low-Carbon Economy,Supporting the shift towards a low-carbon economy in all sectors,VOID,M08,Forest,FA_5E,Carbon conservation / sequestration,21286162,10017017.41,31303179.41,68
LV,Latvia,2014LV06RDNP001,6.1,Latvia - National Rural Development,EAFRD,P2,03,Competitiveness of SMEs,Enhancing the competitiveness of small and medium-sized enterprises (SMEs),VOID,M06,Farm and business development,FA_2B,New farmers,9452635,4448298.82,13900933.82,68
LV,Latvia,2014LV06RDNP001,6.1,Latvia - National Rural Development,EAFRD,P2,03,Competitiveness of SMEs,Enhancing the competitiveness of small and medium-sized enterprises (SMEs),VOID,M06,Farm and business development,FA_2A,Farm performance,29071589,13680747.76,42752336.76,68
FR,France,2014FR16M2OP009,4,Poitou-Charentes - ERDF/ESF,ERDF,Axe 5,06,Environment Protection & Resource Efficiency,Preserving and protecting the environment and promoting resource efficiency,Transition,VOID,VOID,VOID,VOID,10000000,6666667,16666667,60
LV,Latvia,2014LV06RDNP001,6.1,Latvia - National Rural Development,EAFRD,P4,05,Climate Change Adaptation & Risk Prevention,"Promoting climate change adaptation, risk prevention and management",VOID,M11,Organic Farming,FA_P4,Priority 4,66054970.4,31084691.95,97139662.35,68
DE,Germany,2014DE16RFOP008,3.1,Mecklenburg-Vorpommern  - ERDF,ERDF,4,06,Environment Protection & Resource Efficiency,Preserving and protecting the environment and promoting resource efficiency,Transition,VOID,VOID,VOID,VOID,60101800,15025450,75127250,80
LV,Latvia,2014LV06RDNP001,6.1,Latvia - National Rural Development,EAFRD,P6,09,Social Inclusion,"Promoting social inclusion, combating poverty and any discrimination",VOID,M07,Basic services,FA_6B,Local development,86112202,40523389.18,126635591.18,68
DE,Germany,2014DE16RFOP008,3.1,Mecklenburg-Vorpommern  - ERDF,ERDF,2,03,Competitiveness of SMEs,Enhancing the competitiveness of small and medium-sized enterprises (SMEs),Transition,VOID,VOID,VOID,VOID,219085237,54771567,273856804,80
LV,Latvia,2014LV06RDNP001,6.1,Latvia - National Rural Development,EAFRD,P3,03,Competitiveness of SMEs,Enhancing the competitiveness of small and medium-sized enterprises (SMEs),VOID,M17,Risk management,FA_3B,Risk management,8160000,3840000,12000000,68
LV,Latvia,2014LV06RDNP001,6.1,Latvia - National Rural Development,EAFRD,P3,03,Competitiveness of SMEs,Enhancing the competitiveness of small and medium-sized enterprises (SMEs),VOID,M04,Physical Investment,FA_3A,Competitiveness of producers,43690960,20560451.76,64251411.76,68
LV,Latvia,2014LV06RDNP001,6.1,Latvia - National Rural Development,EAFRD,P2,03,Competitiveness of SMEs,Enhancing the competitiveness of small and medium-sized enterprises (SMEs),VOID,M04,Physical Investment,FA_2A,Farm performance,271462046,110524962.82,381987008.82,71.07
DE,Germany,2014DE16RFOP008,3.1,Mecklenburg-Vorpommern  - ERDF,ERDF,4,09,Social Inclusion,"Promoting social inclusion, combating poverty and any discrimination",Transition,VOID,VOID,VOID,VOID,143398900,35849725,179248625,80
LV,Latvia,2014LV06RDNP001,6.1,Latvia - National Rural Development,EAFRD,P4,06,Environment Protection & Resource Efficiency,Preserving and protecting the environment and promoting resource efficiency,VOID,M13,Areas with natural constraints,FA_P4,Priority 4,99237599.1,30223458.4,129461057.5,76.65
LV,Latvia,2014LV06RDNP001,6.1,Latvia - National Rural Development,EAFRD,P4,05,Climate Change Adaptation & Risk Prevention,"Promoting climate change adaptation, risk prevention and management",VOID,M12,NAT 2000 & WFD,FA_P4,Priority 4,8191863,3854994.35,12046857.35,68
ES,Spain,2014ES05SFOP022,2,Andalucía - ESF,ESF,1C,08,Sustainable & Quality Employment,Promoting sustainable and quality employment and supporting labour mobility,Transition,VOID,VOID,VOID,VOID,241719266,60429817,302149083,80
ES,Spain,2014ES05SFOP009,2.1,Galicia  - ESF,ESF,8B,TA,Technical Assistance,Technical Assistance,More developed,VOID,VOID,VOID,VOID,8504047,2126012,10630059,80
IT,Italy,2014IT06RDRP018,5,Calabria - Rural Development,EAFRD,P3,10,Educational & Vocational Training,"Investing in education, training and vocational training for skills and lifelong learning",VOID,M01,Knowledge,FA_3A,Competitiveness of producers,617100,402900,1020000,60.5
FR,France,2014FR06RDRP042,5,Alsace - Rural Development,EAFRD,P4,06,Environment Protection & Resource Efficiency,Preserving and protecting the environment and promoting resource efficiency,VOID,M10,Agri-environment-climate,FA_P4,Priority 4,15500000,5166666.67,20666666.67,75
IT,Italy,2014IT06RDRP018,5,Calabria - Rural Development,EAFRD,P5,01,Research & Innovation,"Strengthening research, technological development and innovation",VOID,M02,Advisory services,FA_5D,Reducing GHG and NH3,333000,217413.22,550413.22,60.5
FR,France,2014FR06RDRP042,5,Alsace - Rural Development,EAFRD,P4,01,Research & Innovation,"Strengthening research, technological development and innovation",VOID,M16,Cooperation,FA_P4,Priority 4,400000,354716.98,754716.98,53
UK,United Kingdom,2014UK05SFOP001,3.1,West Wales and the Valleys - ESF,ESF,3,10,Educational & Vocational Training,"Investing in education, training and vocational training for skills and lifelong learning",Less developed,VOID,VOID,VOID,VOID,110121206,37970787,148091993,74.36
DE,Germany,2014DE16RFOP007,2,Hessen  - ERDF,ERDF,3,04,Low-Carbon Economy,Supporting the shift towards a low-carbon economy in all sectors,More developed,VOID,VOID,VOID,VOID,43085106,43085106,86170212,50
IT,Italy,2014IT06RDRP018,5,Calabria - Rural Development,EAFRD,P2,01,Research & Innovation,"Strengthening research, technological development and innovation",VOID,M02,Advisory services,FA_2A,Farm performance,646500,422095.04,1068595.04,60.5
FR,France,2014FR06RDRP042,5,Alsace - Rural Development,EAFRD,P3,03,Competitiveness of SMEs,Enhancing the competitiveness of small and medium-sized enterprises (SMEs),VOID,M03,Quality schemes,FA_3A,Competitiveness of producers,500000,443396.23,943396.23,53
IT,Italy,2014IT06RDRP018,5,Calabria - Rural Development,EAFRD,P4,06,Environment Protection & Resource Efficiency,Preserving and protecting the environment and promoting resource efficiency,VOID,M08,Forest,FA_P4,Priority 4,6611810,4316801.57,10928611.57,60.5
UK,United Kingdom,2014UK05SFOP001,3.1,West Wales and the Valleys - ESF,ESF,5,11,Efficient Public Administration,Enhancing institutional capacity of public authorities and stakeholders and efficient public administration,Less developed,VOID,VOID,VOID,VOID,16380000,5372197,21752197,75.3
FR,France,2014FR06RDRP042,5,Alsace - Rural Development,EAFRD,P5,04,Low-Carbon Economy,Supporting the shift towards a low-carbon economy in all sectors,VOID,M07,Basic services,FA_5D,Reducing GHG and NH3,500000,443396.23,943396.23,53
IT,Italy,2014IT06RDRP018,5,Calabria - Rural Development,EAFRD,P5,01,Research & Innovation,"Strengthening research, technological development and innovation",VOID,M02,Advisory services,FA_5A,Water efficiency,666000,434826.45,1100826.45,60.5
IT,Italy,2014IT06RDRP018,5,Calabria - Rural Development,EAFRD,P6,01,Research & Innovation,"Strengthening research, technological development and innovation",VOID,M16,Cooperation,FA_6A,"Diversification, SMEs and job creation",3025000,1975000,5000000,60.5
IT,Italy,2014IT06RDRP018,5,Calabria - Rural Development,EAFRD,P6,08,Sustainable & Quality Employment,Promoting sustainable and quality employment and supporting labour mobility,VOID,M06,Farm and business development,FA_6A,"Diversification, SMEs and job creation",3025000,1975000,5000000,60.5
IT,Italy,2014IT06RDRP018,5,Calabria - Rural Development,EAFRD,P5,04,Low-Carbon Economy,Supporting the shift towards a low-carbon economy in all sectors,VOID,M07,Basic services,FA_5C,Renewable energy,4809750,3140250,7950000,60.5
IT,Italy,2014IT06RDRP018,5,Calabria - Rural Development,EAFRD,P3,03,Competitiveness of SMEs,Enhancing the competitiveness of small and medium-sized enterprises (SMEs),VOID,M05,Restoring agricultural potential,FA_3B,Risk management,6050000,3950000,10000000,60.5
IT,Italy,2014IT06RDRP018,5,Calabria - Rural Development,EAFRD,P5,10,Educational & Vocational Training,"Investing in education, training and vocational training for skills and lifelong learning",VOID,M01,Knowledge,FA_5A,Water efficiency,205700,134300,340000,60.5
FR,France,2014FR06RDRP042,5,Alsace - Rural Development,EAFRD,P2,03,Competitiveness of SMEs,Enhancing the competitiveness of small and medium-sized enterprises (SMEs),VOID,M04,Physical Investment,FA_2C+,Programme Specific (1),1600000,1418867.92,3018867.92,53
UK,United Kingdom,2014UK05SFOP001,3.1,West Wales and the Valleys - ESF,ESF,2,10,Educational & Vocational Training,"Investing in education, training and vocational training for skills and lifelong learning",Less developed,VOID,VOID,VOID,VOID,318217266,123960827,442178093,71.97
IT,Italy,2014IT06RDRP018,5,Calabria - Rural Development,EAFRD,P4,10,Educational & Vocational Training,"Investing in education, training and vocational training for skills and lifelong learning",VOID,M01,Knowledge,FA_P4,Priority 4,1996500,1303500,3300000,60.5
IT,Italy,2014IT06RDRP018,5,Calabria - Rural Development,EAFRD,P3,03,Competitiveness of SMEs,Enhancing the competitiveness of small and medium-sized enterprises (SMEs),VOID,M03,Quality schemes,FA_3A,Competitiveness of producers,11169000,7292157.02,18461157.02,60.5
IT,Italy,2014IT06RDRP018,5,Calabria - Rural Development,EAFRD,P5,10,Educational & Vocational Training,"Investing in education, training and vocational training for skills and lifelong learning",VOID,M01,Knowledge,FA_5C,Renewable energy,205700,134300,340000,60.5
ES,Spain,2014ES05SFOP005,2.1,Baleares  - ESF,ESF,8A,TA,Technical Assistance,Technical Assistance,More developed,VOID,VOID,VOID,VOID,1635341,1635341,3270682,50
IT,Italy,2014IT06RDRP018,5,Calabria - Rural Development,EAFRD,P3,10,Educational & Vocational Training,"Investing in education, training and vocational training for skills and lifelong learning",VOID,M01,Knowledge,FA_3B,Risk management,145200,94800,240000,60.5
IT,Italy,2014IT06RDRP018,5,Calabria - Rural Development,EAFRD,P4,01,Research & Innovation,"Strengthening research, technological development and innovation",VOID,M02,Advisory services,FA_P4,Priority 4,4229000,2761082.64,6990082.64,60.5
IT,Italy,2014IT06RDRP018,5,Calabria - Rural Development,EAFRD,P5,04,Low-Carbon Economy,Supporting the shift towards a low-carbon economy in all sectors,VOID,M08,Forest,FA_5E,Carbon conservation / sequestration,26128270,17058953.14,43187223.14,60.5
IT,Italy,2014IT06RDRP018,5,Calabria - Rural Development,EAFRD,P4,05,Climate Change Adaptation & Risk Prevention,"Promoting climate change adaptation, risk prevention and management",VOID,M13,Areas with natural constraints,FA_P4,Priority 4,25621750,16728250,42350000,60.5
IT,Italy,2014IT06RDRP018,5,Calabria - Rural Development,EAFRD,P4,06,Environment Protection & Resource Efficiency,Preserving and protecting the environment and promoting resource efficiency,VOID,M11,Organic Farming,FA_P4,Priority 4,72550000,47367355.37,119917355.37,60.5
FR,France,2014FR06RDRP042,5,Alsace - Rural Development,EAFRD,P4,10,Educational & Vocational Training,"Investing in education, training and vocational training for skills and lifelong learning",VOID,M01,Knowledge,FA_P4,Priority 4,376741,334091.08,710832.08,53
ES,Spain,2014ES05SFOP005,2.1,Baleares  - ESF,ESF,3A,10,Educational & Vocational Training,"Investing in education, training and vocational training for skills and lifelong learning",More developed,VOID,VOID,VOID,VOID,19300000,19300000,38600000,50
IT,Italy,2014IT06RDRP018,5,Calabria - Rural Development,EAFRD,P4,06,Environment Protection & Resource Efficiency,Preserving and protecting the environment and promoting resource efficiency,VOID,M04,Physical Investment,FA_P4,Priority 4,968000,632000,1600000,60.5
DE,Germany,2014DE16RFOP007,2,Hessen  - ERDF,ERDF,4,04,Low-Carbon Economy,Supporting the shift towards a low-carbon economy in all sectors,More developed,VOID,VOID,VOID,VOID,5851064,5851064,11702128,50
IT,Italy,2014IT06RDRP018,5,Calabria - Rural Development,EAFRD,P2,03,Competitiveness of SMEs,Enhancing the competitiveness of small and medium-sized enterprises (SMEs),VOID,M08,Forest,FA_2A,Farm performance,4941320,3226151.07,8167471.07,60.5
IT,Italy,2014IT06RDRP018,5,Calabria - Rural Development,EAFRD,P4,06,Environment Protection & Resource Efficiency,Preserving and protecting the environment and promoting resource efficiency,VOID,M10,Agri-environment-climate,FA_P4,Priority 4,21987500,14355475.21,36342975.21,60.5
DE,Germany,2014DE16RFOP007,2,Hessen  - ERDF,ERDF,1,01,Research & Innovation,"Strengthening research, technological development and innovation",More developed,VOID,VOID,VOID,VOID,91839112,91839112,183678224,50
FR,France,2014FR06RDRP042,5,Alsace - Rural Development,EAFRD,,TA,Technical Assistance,Technical Assistance,VOID,M20,TA,FA_M20,M20 – Technical Assistance,2131012,1889765.36,4020777.36,53
IT,Italy,2014IT06RDRP018,5,Calabria - Rural Development,EAFRD,P2,03,Competitiveness of SMEs,Enhancing the competitiveness of small and medium-sized enterprises (SMEs),VOID,M04,Physical Investment,FA_2A,Farm performance,79120100,51656924.79,130777024.79,60.5
DE,Germany,2014DE16RFOP007,2,Hessen  - ERDF,ERDF,TH,TA,Technical Assistance,Technical Assistance,More developed,VOID,VOID,VOID,VOID,9628934,9628934,19257868,50
DE,Germany,2014DE16RFOP007,2,Hessen  - ERDF,ERDF,4,06,Environment Protection & Resource Efficiency,Preserving and protecting the environment and promoting resource efficiency,More developed,VOID,VOID,VOID,VOID,22340425,22340425,44680850,50
IT,Italy,2014IT06RDRP018,5,Calabria - Rural Development,EAFRD,P3,03,Competitiveness of SMEs,Enhancing the competitiveness of small and medium-sized enterprises (SMEs),VOID,M09,Producer groups / organisations,FA_3A,Competitiveness of producers,2420000,1580000,4000000,60.5
IT,Italy,2014IT06RDRP018,5,Calabria - Rural Development,EAFRD,P3,01,Research & Innovation,"Strengthening research, technological development and innovation",VOID,M02,Advisory services,FA_3A,Competitiveness of producers,74500,48640.5,123140.5,60.5
IT,Italy,2014IT06RDRP018,5,Calabria - Rural Development,EAFRD,P2,03,Competitiveness of SMEs,Enhancing the competitiveness of small and medium-sized enterprises (SMEs),VOID,M04,Physical Investment,FA_2B,New farmers,39631280,25874967.93,65506247.93,60.5
UK,United Kingdom,2014UK05SFOP001,3.1,West Wales and the Valleys - ESF,ESF,4,TA,Technical Assistance,Technical Assistance,Less developed,VOID,VOID,VOID,VOID,16046806,5533084,21579890,74.36
UK,United Kingdom,2014UK05SFOP001,3.1,West Wales and the Valleys - ESF,ESF,1,09,Social Inclusion,"Promoting social inclusion, combating poverty and any discrimination",Less developed,VOID,VOID,VOID,VOID,187774437,50022762,237797199,78.96
IT,Italy,2014IT06RDRP018,5,Calabria - Rural Development,EAFRD,P4,01,Research & Innovation,"Strengthening research, technological development and innovation",VOID,M16,Cooperation,FA_P4,Priority 4,605000,395000,1000000,60.5
IT,Italy,2014IT06RDRP018,5,Calabria - Rural Development,EAFRD,P2,10,Educational & Vocational Training,"Investing in education, training and vocational training for skills and lifelong learning",VOID,M01,Knowledge,FA_2A,Farm performance,1052700,687300,1740000,60.5
IT,Italy,2014IT06RDRP018,5,Calabria - Rural Development,EAFRD,P2,03,Competitiveness of SMEs,Enhancing the competitiveness of small and medium-sized enterprises (SMEs),VOID,M06,Farm and business development,FA_2A,Farm performance,5445000,3555000,9000000,60.5
FR,France,2014FR06RDRP042,5,Alsace - Rural Development,EAFRD,P4,06,Environment Protection & Resource Efficiency,Preserving and protecting the environment and promoting resource efficiency,VOID,M13,Areas with natural constraints,FA_P4,Priority 4,10225263,3408421,13633684,75
FR,France,2014FR06RDRP042,5,Alsace - Rural Development,EAFRD,P4,05,Climate Change Adaptation & Risk Prevention,"Promoting climate change adaptation, risk prevention and management",VOID,M07,Basic services,FA_P4,Priority 4,2105000,1866698.11,3971698.11,53
IT,Italy,2014IT06RDRP018,5,Calabria - Rural Development,EAFRD,P5,04,Low-Carbon Economy,Supporting the shift towards a low-carbon economy in all sectors,VOID,M04,Physical Investment,FA_5C,Renewable energy,3518700,2297333.06,5816033.06,60.5
IT,Italy,2014IT06RDRP018,5,Calabria - Rural Development,EAFRD,P4,05,Climate Change Adaptation & Risk Prevention,"Promoting climate change adaptation, risk prevention and management",VOID,M04,Physical Investment,FA_P4,Priority 4,968000,632000,1600000,60.5
IT,Italy,2014IT06RDRP018,5,Calabria - Rural Development,EAFRD,P4,06,Environment Protection & Resource Efficiency,Preserving and protecting the environment and promoting resource efficiency,VOID,M13,Areas with natural constraints,FA_P4,Priority 4,25621750,16728250,42350000,60.5
IT,Italy,2014IT06RDRP018,5,Calabria - Rural Development,EAFRD,P4,05,Climate Change Adaptation & Risk Prevention,"Promoting climate change adaptation, risk prevention and management",VOID,M10,Agri-environment-climate,FA_P4,Priority 4,21987500,14355475.21,36342975.21,60.5
IT,Italy,2014IT06RDRP018,5,Calabria - Rural Development,EAFRD,P3,03,Competitiveness of SMEs,Enhancing the competitiveness of small and medium-sized enterprises (SMEs),VOID,M14,Animal welfare,FA_3A,Competitiveness of producers,17150000,11197107.44,28347107.44,60.5
UK,United Kingdom,2014UK05SFOP001,3.1,West Wales and the Valleys - ESF,ESF,2,08,Sustainable & Quality Employment,Promoting sustainable and quality employment and supporting labour mobility,Less developed,VOID,VOID,VOID,VOID,21422486,7386514,28809000,74.36
FR,France,2014FR06RDRP042,5,Alsace - Rural Development,EAFRD,P4,05,Climate Change Adaptation & Risk Prevention,"Promoting climate change adaptation, risk prevention and management",VOID,M13,Areas with natural constraints,FA_P4,Priority 4,10225263,3408421,13633684,75
IT,Italy,2014IT06RDRP018,5,Calabria - Rural Development,EAFRD,,TA,Technical Assistance,Technical Assistance,VOID,M20,TA,FA_M20,M20 – Technical Assistance,18025000,11768388.43,29793388.43,60.5
IT,Italy,2014IT06RDRP018,5,Calabria - Rural Development,EAFRD,P2,01,Research & Innovation,"Strengthening research, technological development and innovation",VOID,M02,Advisory services,FA_2B,New farmers,777000,507297.52,1284297.52,60.5
IT,Italy,2014IT06RDRP018,5,Calabria - Rural Development,EAFRD,P6,10,Educational & Vocational Training,"Investing in education, training and vocational training for skills and lifelong learning",VOID,M01,Knowledge,FA_6C,ICT,266200,173800,440000,60.5
ES,Spain,2014ES05SFOP005,2.1,Baleares  - ESF,ESF,2A,09,Social Inclusion,"Promoting social inclusion, combating poverty and any discrimination",More developed,VOID,VOID,VOID,VOID,18379299,18379299,36758598,50
IT,Italy,2014IT06RDRP018,5,Calabria - Rural Development,EAFRD,P6,01,Research & Innovation,"Strengthening research, technological development and innovation",VOID,M02,Advisory services,FA_6A,"Diversification, SMEs and job creation",444000,289884.3,733884.3,60.5
FR,France,2014FR06RDRP042,5,Alsace - Rural Development,EAFRD,P4,01,Research & Innovation,"Strengthening research, technological development and innovation",VOID,M02,Advisory services,FA_P4,Priority 4,300000,266037.74,566037.74,53
FR,France,2014FR06RDRP042,5,Alsace - Rural Development,EAFRD,P4,05,Climate Change Adaptation & Risk Prevention,"Promoting climate change adaptation, risk prevention and management",VOID,M04,Physical Investment,FA_P4,Priority 4,350000,310377.36,660377.36,53
FR,France,2014FR06RDRP042,5,Alsace - Rural Development,EAFRD,P4,06,Environment Protection & Resource Efficiency,Preserving and protecting the environment and promoting resource efficiency,VOID,M04,Physical Investment,FA_P4,Priority 4,350000,310377.36,660377.36,53
IT,Italy,2014IT06RDRP018,5,Calabria - Rural Development,EAFRD,P6,09,Social Inclusion,"Promoting social inclusion, combating poverty and any discrimination",VOID,M19,LEADER and CLLD,FA_6B,Local development,40141750,26208250,66350000,60.5
IT,Italy,2014IT06RDRP018,5,Calabria - Rural Development,EAFRD,P2,01,Research & Innovation,"Strengthening research, technological development and innovation",VOID,M16,Cooperation,FA_2A,Farm performance,4658500,3041500,7700000,60.5
IT,Italy,2014IT06RDRP018,5,Calabria - Rural Development,EAFRD,P4,05,Climate Change Adaptation & Risk Prevention,"Promoting climate change adaptation, risk prevention and management",VOID,M11,Organic Farming,FA_P4,Priority 4,72550000,47367355.37,119917355.37,60.5
IT,Italy,2014IT06RDRP018,5,Calabria - Rural Development,EAFRD,P5,06,Environment Protection & Resource Efficiency,Preserving and protecting the environment and promoting resource efficiency,VOID,M04,Physical Investment,FA_5A,Water efficiency,11495200,7505130.58,19000330.58,60.5
IT,Italy,2014IT06RDRP018,5,Calabria - Rural Development,EAFRD,P3,01,Research & Innovation,"Strengthening research, technological development and innovation",VOID,M16,Cooperation,FA_3A,Competitiveness of producers,2420000,1580000,4000000,60.5
IT,Italy,2014IT06RDRP018,5,Calabria - Rural Development,EAFRD,P5,10,Educational & Vocational Training,"Investing in education, training and vocational training for skills and lifelong learning",VOID,M01,Knowledge,FA_5D,Reducing GHG and NH3,242000,158000,400000,60.5
IT,Italy,2014IT06RDRP018,5,Calabria - Rural Development,EAFRD,P5,04,Low-Carbon Economy,Supporting the shift towards a low-carbon economy in all sectors,VOID,M06,Farm and business development,FA_5C,Renewable energy,1815000,1185000,3000000,60.5
FR,France,2014FR06RDRP042,5,Alsace - Rural Development,EAFRD,P4,05,Climate Change Adaptation & Risk Prevention,"Promoting climate change adaptation, risk prevention and management",VOID,M10,Agri-environment-climate,FA_P4,Priority 4,15500000,5166666.67,20666666.67,75
IT,Italy,2014IT06RDRP018,5,Calabria - Rural Development,EAFRD,P4,05,Climate Change Adaptation & Risk Prevention,"Promoting climate change adaptation, risk prevention and management",VOID,M07,Basic services,FA_P4,Priority 4,302500,197500,500000,60.5
FR,France,2014FR06RDRP042,5,Alsace - Rural Development,EAFRD,P2,01,Research & Innovation,"Strengthening research, technological development and innovation",VOID,M16,Cooperation,FA_2C+,Programme Specific (1),350000,310377.36,660377.36,53
FR,France,2014FR06RDRP042,5,Alsace - Rural Development,EAFRD,P6,09,Social Inclusion,"Promoting social inclusion, combating poverty and any discrimination",VOID,M19,LEADER and CLLD,FA_6B,Local development,6468988,1617247,8086235,80
IT,Italy,2014IT06RDRP018,5,Calabria - Rural Development,EAFRD,P5,01,Research & Innovation,"Strengthening research, technological development and innovation",VOID,M02,Advisory services,FA_5E,Carbon conservation / sequestration,777000,507297.52,1284297.52,60.5
IT,Italy,2014IT06RDRP018,5,Calabria - Rural Development,EAFRD,P6,10,Educational & Vocational Training,"Investing in education, training and vocational training for skills and lifelong learning",VOID,M01,Knowledge,FA_6A,"Diversification, SMEs and job creation",338800,221200,560000,60.5
DE,Germany,2014DE16RFOP007,2,Hessen  - ERDF,ERDF,4,03,Competitiveness of SMEs,Enhancing the competitiveness of small and medium-sized enterprises (SMEs),More developed,VOID,VOID,VOID,VOID,6489362,6489362,12978724,50
DE,Germany,2014DE16RFOP007,2,Hessen  - ERDF,ERDF,2,03,Competitiveness of SMEs,Enhancing the competitiveness of small and medium-sized enterprises (SMEs),More developed,VOID,VOID,VOID,VOID,61489363,61489363,122978726,50
FR,France,2014FR06RDRP042,5,Alsace - Rural Development,EAFRD,P4,06,Environment Protection & Resource Efficiency,Preserving and protecting the environment and promoting resource efficiency,VOID,M11,Organic Farming,FA_P4,Priority 4,6400056,2133352,8533408,75
ES,Spain,2014ES05SFOP005,2.1,Baleares  - ESF,ESF,1A,08,Sustainable & Quality Employment,Promoting sustainable and quality employment and supporting labour mobility,More developed,VOID,VOID,VOID,VOID,8012000,8012000,16024000,50
FR,France,2014FR06RDRP042,5,Alsace - Rural Development,EAFRD,P6,09,Social Inclusion,"Promoting social inclusion, combating poverty and any discrimination",VOID,M07,Basic services,FA_6B,Local development,7350000,6517924.53,13867924.53,53
IT,Italy,2014IT06RDRP018,5,Calabria - Rural Development,EAFRD,P5,04,Low-Carbon Economy,Supporting the shift towards a low-carbon economy in all sectors,VOID,M10,Agri-environment-climate,FA_5E,Carbon conservation / sequestration,3025000,1975000,5000000,60.5
FR,France,2014FR06RDRP042,5,Alsace - Rural Development,EAFRD,P5,04,Low-Carbon Economy,Supporting the shift towards a low-carbon economy in all sectors,VOID,M06,Farm and business development,FA_5C,Renewable energy,3000000,2660377.36,5660377.36,53
