MS,MS Name,CCI,Ver,Programme Title,Fund,Priority,TO_code,To short,TO long,Category of region,EAFRD Measure code,Measure short description,EAFRD Focus Area code,Focus area short description,EU Amount,National Amount,Total Amount,EU co-financing
ES,Spain,2014ES06RDRP016,4.2,La Rioja  - Rural Development,EAFRD,P5,01,Research & Innovation,"Strengthening research, technological development and innovation",VOID,M16,Cooperation,FA_5A,Water efficiency,500000,500000,1000000,50
IT,Italy,2014IT05M2OP002,4,Governance and Institutional Capacity - IT - ESF/ERDF,ERDF,2,02,Information & Communication Technologies,Enhancing access to and use and quality of information and communication technologies (ICT),Transition,VOID,VOID,VOID,VOID,2643843,1762563,4406406,60
ES,Spain,2014ES06RDRP016,4.2,La Rioja  - Rural Development,EAFRD,P2,01,Research & Innovation,"Strengthening research, technological development and innovation",VOID,M02,Advisory services,FA_2A,Farm performance,2100000,2100000,4200000,50
ES,Spain,2014ES06RDRP016,4.2,La Rioja  - Rural Development,EAFRD,P4,05,Climate Change Adaptation & Risk Prevention,"Promoting climate change adaptation, risk prevention and management",VOID,M13,Areas with natural constraints,FA_P4,Priority 4,1000000,1000000,2000000,50
ES,Spain,2014ES06RDRP016,4.2,La Rioja  - Rural Development,EAFRD,P4,01,Research & Innovation,"Strengthening research, technological development and innovation",VOID,M16,Cooperation,FA_P4,Priority 4,500000,500000,1000000,50
IT,Italy,2014IT05M2OP002,4,Governance and Institutional Capacity - IT - ESF/ERDF,ESF,1,11,Efficient Public Administration,Enhancing institutional capacity of public authorities and stakeholders and efficient public administration,More developed,VOID,VOID,VOID,VOID,25312319,25312319,50624638,50
ES,Spain,2014ES06RDRP016,4.2,La Rioja  - Rural Development,EAFRD,P6,09,Social Inclusion,"Promoting social inclusion, combating poverty and any discrimination",VOID,M19,LEADER and CLLD,FA_6B,Local development,5225000,5225000,10450000,50
IT,Italy,2014IT06RDRP008,5.1,Marche - Rural Development,EAFRD,P4,05,Climate Change Adaptation & Risk Prevention,"Promoting climate change adaptation, risk prevention and management",VOID,M15,Forest-environment,FA_P4,Priority 4,215600,284400,500000,43.12
IT,Italy,2014IT06RDRP020,7.1,Puglia - Rural Development,EAFRD,P5,04,Low-Carbon Economy,Supporting the shift towards a low-carbon economy in all sectors,VOID,M04,Physical Investment,FA_5C,Renewable energy,3630000,2370000,6000000,60.5
IT,Italy,2014IT06RDRP020,7.1,Puglia - Rural Development,EAFRD,P5,04,Low-Carbon Economy,Supporting the shift towards a low-carbon economy in all sectors,VOID,M08,Forest,FA_5E,Carbon conservation / sequestration,39325000,25675000,65000000,60.5
SE,Sweden,2014SE06RDNP001,5.1,Sweden - National Rural Development,EAFRD,P4,06,Environment Protection & Resource Efficiency,Preserving and protecting the environment and promoting resource efficiency,VOID,M13,Areas with natural constraints,FA_P4,Priority 4,192596472.98,294989534.56,487586007.54,39.5
SE,Sweden,2014SE06RDNP001,5.1,Sweden - National Rural Development,EAFRD,P2,03,Competitiveness of SMEs,Enhancing the competitiveness of small and medium-sized enterprises (SMEs),VOID,M04,Physical Investment,FA_2A,Farm performance,108994710.88,166941266.03,275935976.91,39.5
SE,Sweden,2014SE06RDNP001,5.1,Sweden - National Rural Development,EAFRD,P5,01,Research & Innovation,"Strengthening research, technological development and innovation",VOID,M16,Cooperation,FA_5C,Renewable energy,1434216.97,2196712.07,3630929.04,39.5
SE,Sweden,2014SE06RDNP001,5.1,Sweden - National Rural Development,EAFRD,P4,06,Environment Protection & Resource Efficiency,Preserving and protecting the environment and promoting resource efficiency,VOID,M08,Forest,FA_P4,Priority 4,2349023.94,3597872.11,5946896.05,39.5
SE,Sweden,2014SE06RDNP001,5.1,Sweden - National Rural Development,EAFRD,P6,10,Educational & Vocational Training,"Investing in education, training and vocational training for skills and lifelong learning",VOID,M01,Knowledge,FA_6A,"Diversification, SMEs and job creation",4045490.93,6196258.26,10241749.19,39.5
SE,Sweden,2014SE06RDNP001,5.1,Sweden - National Rural Development,EAFRD,P6,09,Social Inclusion,"Promoting social inclusion, combating poverty and any discrimination",VOID,M19,LEADER and CLLD,FA_6B,Local development,100119189.51,100119189.51,200238379.02,50
